6,0,4,0
1,0,3,0
7,0,5,0
0,0,2,0
5,0,5,1
2,0,2,2
5,1,1,1
2,2,6,2
1,1,1,2
6,2,6,1
1,2,1,3
6,1,6,3
1,3,1,4
undo 1,3,1,4
1,3,1,0
6,3,6,1
1,0,0,0
6,1,7,1
0,0,0,1
7,1,7,2
0,1,0,2
7,2,7,3
undo 7,2,7,3
7,2,7,0
0,2,0,0
7,0,4,0
0,0,3,0
0,3,0,0
7,3,7,0
4,0,7,0
7,4,6,3
0,4,1,3
3,0,0,0
7,0,7,5
0,0,0,5
7,5,7,6
0,5,0,6
7,6,7,7
0,6,0,7
7,7,6,7
0,7,1,7
6,7,6,6
1,7,1,6
6,6,6,5
1,6,1,5
6,5,6,4
6,3,7,3
6,4,5,4
1,5,1,4
1,3,2,3
7,3,7,2
undo 7,3,7,2
1,4,4,4
2,3,1,3
7,3,6,3
1,3,0,3
6,3,7,3
5,4,5,5
4,4,4,3
0,3,0,4
4,3,5,3
5,5,3,5
5,3,4,3
3,5,3,3
4,3,5,3
3,3,1,3
5,3,4,3
1,3,1,2
4,3,4,4
undo 4,3,4,4
4,3,4,2
1,2,2,2
4,2,4,5
2,2,2,3
